fan,0.637668,4,3 9 13 17
sony,0.5539403,3,5 13 20
price,0.66468984,8,5 5 7 11 14 15 26 29
case,0.66033393,5,1 1 4 5 7
quality,0.56321126,8,3 6 9 9 13 13 20 26
cancellation,0.5871067,14,0 6 6 7 8 8 9 9 11 13 13 13 15 32
phone,0.5832836,3,6 19 19
air,0.68039805,3,2 3 13
noise,0.60547537,25,0 0 1 2 3 3 4 5 6 7 8 8 8 8 9 9 11 13 13 13 14 15 16 16 32
product,0.7386449,10,1 4 4 7 7 15 22 23 29 32
pouch,0.6295574,3,1 1 1
headphone,0.6084742,6,0 1 3 7 8 13
bus,0.64240104,3,0 5 5
headphones,0.6165616,9,3 4 4 4 9 9 9 9 13
sound,0.6299151,14,5 5 6 6 6 7 9 9 9 12 13 15 27 32
frequency,0.5983723,5,6 6 9 9 17
value,0.683974,3,25 28 32
cancelling,0.66060954,5,2 3 3 14 16
bass,0.6844199,6,2 2 2 2 7 19
money,0.60668355,5,1 6 25 28 32
